"year","rank","city","med_park_size_data","med_park_size_points","park_pct_city_data","park_pct_city_points","pct_near_park_data","pct_near_park_points","spend_per_resident_data","spend_per_resident_points","basketball_data","basketball_points","dogpark_data","dogpark_points","playground_data","playground_points","rec_sr_data","rec_sr_points","restroom_data","restroom_points","splashground_data","splashground_points","amenities_points","total_points","total_pct","city_dup","park_benches"
2020,11,"New York",1.1,3,"21%",50,"99%",99,"$232",100,4.1,58,1.7,66,2.1,27,0.1,1,0.8,23,6.9,100,45.8,298,74.5,"New York",NA
2020,12,"Madison",4.7,21,"14%",36,"95%",93,"$134",74,10.5,100,3,100,7,100,0.1,1,2.7,85,1.1,41,71.2,295,73.8,"Madison",NA
2020,13,"St. Louis",2.3,9,"10%",23,"98%",97,"$199",100,2.8,34,1.9,78,2.9,45,0.6,41,2.4,73,2.6,97,61.3,290,72.6,"St. Louis",NA
2020,14,"Seattle",2.4,10,"13%",32,"96%",95,"$320",100,3.3,43,1.9,78,2.1,26,0.7,47,2.4,73,1.2,45,52,289,72.3,"Seattle",NA
2020,15,"Pittsburgh",2.2,9,"10%",26,"92%",88,"$142",79,6.1,95,2.3,94,3.9,68,1.7,100,0.6,14,9.1,100,78.5,281,70.1,"Pittsburgh",NA
2020,15,"Philadelphia",3,12,"13%",33,"95%",93,"$138",77,4.9,73,0.5,10,2.8,43,2.3,100,2.2,66,5.8,100,65.3,280,70.1,"Philadelphia",NA
2020,17,"Plano",13.5,50,"10%",25,"75%",63,"$226",100,7.1,100,1,34,2.3,32,0.3,19,1.5,45,0.7,22,42,280,70,"Plano",NA
2020,18,"San Diego",6.8,32,"19%",50,"81%",71,"$153",86,2.8,35,1.2,44,2.4,33,1,65,1.5,44,0.1,2,37.2,276,69,"San Diego",NA
2020,19,"St. Petersburg",3.5,15,"16%",40,"75%",63,"$148",83,4.1,58,2.3,94,3.4,58,1.2,82,4.7,100,1.1,40,72,273,68.3,"St. Petersburg",NA
2020,20,"New Orleans",2,8,"26%",50,"80%",70,"$165",94,3.3,44,0.8,23,4.8,91,0.7,47,2.6,81,0.3,6,48.7,271,67.7,"New Orleans",NA
2020,21,"Boise",7.3,34,"9%",23,"69%",53,"$172",98,2.2,23,6,100,3.4,56,1,66,2.8,87,0.9,31,60.5,269,67.1,"Boise",NA
2020,22,"Denver",6.7,31,"8%",20,"91%",86,"$130",72,4.8,71,1.8,71,3.6,61,0.8,54,1.2,35,1.6,60,58.7,268,66.9,"Denver",NA
2020,23,"Long Beach",3.2,14,"10%",25,"84%",76,"$180",100,1.6,13,2.1,85,1.4,10,1.3,88,3.7,100,0.2,4,50,265,66.3,"Long Beach",NA
2020,24,"Aurora",8,37,"11%",27,"88%",82,"$149",84,1.6,13,1.1,37,2.2,28,0.2,11,1.7,51,1.3,48,31.3,261,65.3,"Aurora",NA
2020,25,"Lincoln",6.4,30,"7%",16,"92%",88,"$108",58,8.7,100,1.4,52,4.6,85,0.6,39,4,100,0.7,23,66.5,259,64.6,"Lincoln",NA
2020,26,"Virginia Beach",5.2,24,"18%",46,"68%",51,"$185",100,3.3,44,0.7,18,4.1,74,0.3,17,2.1,65,0.2,5,37.2,258,64.5,"Virginia Beach",NA
2020,27,"Henderson",5.8,26,"13%",34,"60%",38,"$141",78,8.2,100,5.2,100,2.9,45,0.5,32,4.7,100,5.5,100,79.5,256,63.9,"Henderson",NA
2020,28,"Milwaukee",4.6,21,"9%",23,"90%",86,"$112",61,5.7,89,0.5,11,3.9,68,0.9,61,5,100,1.5,56,64.2,255,63.8,"Milwaukee",NA
2020,29,"Cleveland",3.9,17,"7%",15,"83%",75,"$137",76,6.1,96,0.8,24,3.7,64,1.2,79,1,29,10.6,100,65.3,248,62.1,"Cleveland",NA
2020,30,"Sacramento",5.4,25,"9%",21,"83%",75,"$122",67,1.6,12,3,100,4.2,75,0.6,41,1.1,33,4.5,100,60.2,248,62,"Sacramento",NA
2020,31,"Raleigh",6.7,31,"13%",33,"58%",36,"$157",88,5.2,80,1.3,47,2.2,29,1.6,100,2.1,63,1.1,38,59.5,248,61.9,"Raleigh",NA
2020,32,"Kansas City",11.7,50,"9%",22,"70%",54,"$132",73,2.7,32,0.8,24,4.4,81,0.4,25,0.8,23,3,100,47.5,247,61.6,"Kansas City",NA
2020,33,"Fremont",6.4,30,"49%",50,"70%",54,"$114",62,2.1,21,2.2,89,2.2,29,0.5,32,4.2,100,0.4,13,47.3,243,60.8,"Fremont",NA
2020,34,"Des Moines",11.2,50,"13%",32,"70%",55,"$94",50,2.7,33,1.3,49,2.6,38,0.8,52,2.1,62,7.4,100,55.7,243,60.7,"Des Moines",NA
2020,35,"Albuquerque",4.3,19,"23%",50,"87%",81,"$62",30,2.4,27,2.4,100,3.2,52,1.3,91,1.5,44,1.4,51,60.8,241,60.2,"Albuquerque",NA
2020,36,"San Jose",3,13,"15%",40,"82%",74,"$108",58,1.8,15,1.3,46,3.1,50,1,65,1.1,32,2,75,47.2,232,58,"San Jose",NA
2020,37,"Austin",8.2,39,"10%",25,"60%",39,"$147",82,2.5,28,1.3,50,1.6,14,0.6,35,1.2,34,2.7,100,43.5,229,57.1,"Austin",NA
